group_type;group_name;brand;model;economic_priority;landing_type;suggested_path;final_url;status
MODEL;MODEL | Li Auto | L6;Li Auto;L6;P2_long_tail_high_value;model_filter;/catalog/li-auto/l6/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Li Auto | L7;Li Auto;L7;P2_long_tail_high_value;model_filter;/catalog/li-auto/l7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Li Auto | L9;Li Auto;L9;P2_long_tail_high_value;model_filter;/catalog/li-auto/l9/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Livan | X3 Pro;Livan;X3 Pro;P4_low_value_controlled;model_filter;/catalog/livan/x3-pro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Livan | X6 Pro;Livan;X6 Pro;P4_low_value_controlled;model_filter;/catalog/livan/x6-pro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Mercedes-Benz | G-класс;Mercedes-Benz;G-класс;P3_long_tail_medium_value;model_filter;/catalog/mercedes-benz/g-klass/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Mercedes-Benz | G-класс AMG;Mercedes-Benz;G-класс AMG;P2_long_tail_high_value;model_filter;/catalog/mercedes-benz/g-klass-amg/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Omoda | C5;Omoda;C5;P1_high_demand_high_value;model_filter;/catalog/omoda/c5/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Polar Stone/Jishi | 01;Polar Stone/Jishi;01;P3_long_tail_medium_value;model_filter;/catalog/polar-stone-jishi/01/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Tank | 300;Tank;300;P1_high_demand_high_value;model_filter;/catalog/tank/300/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Tank | 500;Tank;500;P2_high_demand_medium_value;model_filter;/catalog/tank/500/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Tank | 700;Tank;700;P3_long_tail_medium_value;model_filter;/catalog/tank/700/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Trumpchi | M8;Trumpchi;M8;P4_low_value_controlled;model_filter;/catalog/trumpchi/m8/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Voyah | Dream;Voyah;Dream;P2_high_demand_medium_value;model_filter;/catalog/voyah/dream/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Voyah | Free;Voyah;Free;P1_high_demand_high_value;model_filter;/catalog/voyah/free/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Voyah | Passion;Voyah;Passion;P2_high_demand_medium_value;model_filter;/catalog/voyah/passion/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Voyah | Taishan;Voyah;Taishan;P2_long_tail_high_value;model_filter;/catalog/voyah/taishan/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Wey | 07;Wey;07;P3_long_tail_medium_value;model_filter;/catalog/wey/07/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Wey | 80;Wey;80;P3_long_tail_medium_value;model_filter;/catalog/wey/80/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Xiaomi | SU7;Xiaomi;SU7;P3_long_tail_medium_value;model_filter;/catalog/xiaomi/su7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Zeekr | 001;Zeekr;001;P1_high_demand_high_value;model_filter;/catalog/zeekr/001/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Zeekr | 007;Zeekr;007;P2_long_tail_high_value;model_filter;/catalog/zeekr/007/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Zeekr | 9X;Zeekr;9X;P1_high_demand_high_value;model_filter;/catalog/zeekr/9x/;;WAITING_FOR_SITE_ROUTES
